HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	376.9032
DEPTH_LSF	GR
m	gAPI
47.8716	57.5968
48.0240	60.3446
48.1764	58.6967
48.3288	57.5826
48.4812	54.5197
48.6336	52.1345
48.7860	53.5071
48.9384	53.5789
49.0908	55.1620
49.2432	54.0580
49.3956	52.5196
49.5480	50.4839
49.7004	49.5689
49.8528	51.0404
50.0052	52.6415
50.1576	56.1299
50.3100	58.1760
50.4624	60.5083
50.6148	59.2223
50.7672	58.2020
50.9196	57.5644
51.0720	57.0458
51.2244	58.0705
51.3768	56.1474
51.5292	58.1264
51.6816	58.4926
51.8340	62.3213
51.9864	62.2389
52.1388	62.3259
52.2912	58.0037
52.4436	55.6227
52.5960	53.9744
52.7484	55.3746
52.9008	54.5458
53.0532	55.0861
53.2056	53.7171
53.3580	56.3526
53.5104	55.9084
53.6628	55.4414
53.8152	51.4277
53.9676	47.3985
54.1200	48.5706
54.2724	47.7511
54.4248	49.1201
54.5772	47.5691
54.7296	50.3254
54.8820	51.2412
55.0344	51.9131
55.1868	52.3014
55.3392	52.9470
55.4916	54.4085
55.6440	52.2757
55.7964	50.8041
55.9488	48.2346
56.1012	48.2465
56.2536	50.9085
56.4060	53.2940
56.5584	53.3013
56.7108	51.8713
56.8632	51.0425
57.0156	52.2138
57.1680	50.8920
57.3204	50.8920
57.4728	52.0825
57.6252	53.1768
57.7776	54.9213
57.9300	53.3554
58.0824	53.4561
58.2348	52.9937
58.3872	53.5432
58.5396	57.2107
58.6920	55.0331
58.8444	57.2042
58.9968	54.9332
59.1492	55.6410
59.3016	54.4909
59.4540	53.5477
59.6064	53.4991
59.7588	51.9363
59.9112	52.5193
60.0636	52.2107
60.2160	55.0592
60.3684	53.2034
60.5208	54.3984
60.6732	52.2794
60.8256	53.9753
60.9780	53.8792
61.1304	53.4451
61.2828	53.5669
61.4352	53.3664
61.5876	53.7134
61.7400	53.4378
61.8924	53.4506
62.0448	53.9909
62.1972	55.0898
62.3496	56.0101
62.5020	54.0000
62.6544	54.5202
62.8068	54.0229
62.9592	54.1099
63.1116	52.4048
63.2640	51.0862
63.4164	52.7345
63.5688	51.0697
63.7212	49.2181
63.8736	51.3893
64.0260	52.0422
64.1784	54.6997
64.3308	52.9305
64.4832	55.8654
64.6356	55.3233
64.7880	54.4680
64.9404	52.3453
65.0928	54.9048
65.2452	54.5293
65.3976	58.9688
65.5500	58.9688
65.7024	60.3562
65.8548	59.5961
66.0072	62.3387
66.1596	65.8139
66.3120	62.2472
66.4644	61.3314
66.6168	60.1208
66.7692	61.1571
66.9216	63.2587
67.0740	65.2111
67.2264	66.7388
67.3788	63.3598
67.5312	60.4514
67.6836	58.1529
67.8360	58.9725
67.9884	60.5851
68.1408	63.4285
68.2932	61.8809
68.4456	60.2756
68.5980	59.6391
68.7504	58.9890
68.9028	58.4102
69.0552	57.2152
69.2076	60.5164
69.3600	60.9651
69.5124	59.4130
69.6648	57.6410
69.8172	60.4844
69.9696	61.3790
70.1220	58.4377
70.2744	54.5916
70.4268	54.9744
70.5792	54.4689
70.7316	53.7363
70.8840	52.0312
71.0364	53.0330
71.1888	53.7656
71.3412	54.4945
71.4936	53.9543
71.6460	54.5083
71.7984	55.0174
71.9508	59.5375
72.1032	60.0778
72.2556	61.6235
72.4080	56.4579
72.5604	52.8334
72.7128	51.3023
72.8652	53.1338
73.0176	54.1850
73.1700	55.5531
73.3224	57.4762
73.4748	59.6923
73.6272	58.5659
73.7796	56.6474
73.9320	55.7271
74.0844	53.8346
74.2368	51.6231
74.3892	51.4775
74.5416	52.2070
74.6940	52.2537
74.8464	52.1768
74.9988	54.4057
75.1512	55.3801
75.3036	52.0312
75.4560	50.9104
75.6084	50.8050
75.7608	53.0028
75.9132	52.4442
76.0656	51.8032
76.2180	53.8178
76.3704	53.5385
76.5228	52.5404
76.6752	50.0633
76.8276	50.6219
76.9800	51.8939
77.1324	54.2229
77.2848	54.1579
77.4372	55.6255
77.5896	53.5144
77.7420	53.2040
77.8944	51.1008
78.0468	52.7403
78.1992	52.1789
78.3516	53.9170
78.5040	53.4332
78.6564	58.7079
78.8088	57.3361
78.9612	57.6493
79.1136	52.2125
79.2660	52.1265
79.4184	52.8206
79.5708	56.2653
79.7232	56.3422
79.8756	57.1865
80.0280	53.4625
80.1804	58.5128
80.3328	57.6776
80.4852	60.6126
80.6376	57.7738
80.7900	56.1218
80.9424	55.2015
81.0948	54.8306
81.2472	55.4204
81.3996	55.3334
81.5520	55.8828
81.7044	59.4652
81.8568	62.0814
82.0092	63.0063
82.1616	60.6510
82.3140	58.5796
82.4664	58.3379
82.6188	59.7115
82.7712	58.0632
82.9236	59.1584
83.0760	60.7197
83.2284	63.7069
83.3808	62.4615
83.5332	61.1492
83.6856	60.7097
83.8380	60.3507
83.9904	59.2286
84.1428	59.2542
84.2952	58.4362
84.4476	56.4887
84.6000	57.3083
84.7524	57.7784
84.9048	59.0558
85.0572	56.8956
85.2096	55.0504
85.3620	55.7738
85.5144	57.6502
85.6668	62.3250
85.8192	64.0603
85.9716	63.8543
86.1240	60.9221
86.2764	58.6511
86.4288	58.3123
86.5812	58.1355
86.7336	56.1026
86.8860	56.3819
87.0384	56.4854
87.1908	57.9597
87.3432	55.0339
87.4956	55.7083
87.6480	52.9703
87.8004	54.4263
87.9528	54.2757
88.1052	57.7921
88.2576	56.0357
88.4100	53.1145
88.5624	52.5211
88.7148	51.5212
88.8672	52.9003
89.0196	50.9992
89.1720	53.0248
89.3244	53.3902
89.4768	55.9304
89.6292	57.8791
89.7816	56.2308
89.9340	56.1972
90.0864	54.7137
90.2388	55.9967
90.3912	51.1347
90.5436	50.0065
90.6960	51.1750
90.8484	52.6869
91.0008	52.2492
91.1532	50.2675
91.3056	52.2821
91.4580	50.2364
91.6104	54.2446
91.7628	55.6301
91.9152	57.8620
92.0676	56.9600
92.2200	54.8465
92.3724	56.9496
92.5248	54.4295
92.6772	53.0340
92.8296	52.6512
92.9820	53.0559
93.1344	54.9964
93.2868	55.2858
93.4392	58.3123
93.5916	60.1007
93.7440	60.0311
93.8964	57.1297
94.0488	55.3019
94.2012	53.7250
94.3536	55.9808
94.5060	56.5696
94.6584	56.6044
94.8108	54.5944
94.9632	52.2089
95.1156	53.9186
95.2680	55.1960
95.4204	56.0202
95.5728	55.4616
95.7252	52.5358
95.8776	54.1841
96.0300	54.1979
96.1824	55.6630
96.3348	53.7446
96.4872	50.9012
96.6396	49.5276
96.7920	49.6100
96.9444	52.9937
97.0968	54.6160
97.2492	57.0839
97.4016	55.7103
97.5540	55.7317
97.7064	54.0541
97.8588	55.3331
98.0112	57.2653
98.1636	59.2359
98.3160	59.7838
98.4684	57.3938
98.6208	57.4048
98.7732	53.9326
98.9256	54.6963
99.0780	56.5076
99.2304	59.6135
99.3828	57.7161
99.5352	55.4268
99.6876	55.4735
99.8400	57.6749
99.9924	56.9112
100.1448	56.8736
100.2972	57.1667
100.4496	59.4047
100.6020	58.3837
100.7544	58.9414
100.9068	57.2884
101.0592	56.5650
101.2116	55.6374
101.3640	55.1182
101.5164	55.6722
101.6688	56.7005
101.8212	54.7641
101.9736	54.3003
102.1260	53.9294
102.2784	56.7469
102.4308	56.3865
102.5832	54.3718
102.7356	54.2967
102.8880	54.8462
103.0404	57.8345
103.1928	58.9123
103.3452	57.4811
103.4976	53.6484
103.6500	49.9687
103.8024	51.2910
103.9548	51.3020
104.1072	52.3261
104.2596	51.8865
104.4120	56.9322
104.5644	56.3965
104.7168	58.1401
104.8692	54.4817
105.0216	58.4148
105.1740	59.3305
105.3264	58.7719
105.4788	56.4872
105.6312	52.5788
105.7836	54.1401
105.9360	56.0540
106.0884	60.0448
106.2408	61.8809
106.3932	57.9462
106.5456	55.0544
106.6980	48.7312
106.8504	50.7266
107.0028	51.7351
107.1552	53.7955
107.3076	52.3465
107.4600	51.1118
107.6124	54.2375
107.7648	58.4591
107.9172	59.1962
108.0696	59.0512
108.2220	56.0156
108.3744	58.1382
108.5268	55.7482
108.6792	56.4322
108.8316	54.6850
108.9840	52.3300
109.1364	50.5755
109.2888	51.3905
109.4412	54.9423
109.5936	56.2921
109.7460	56.1090
109.8984	53.0577
110.0508	51.9543
110.2032	50.7592
110.3556	54.3627
110.5080	56.0174
110.6604	56.2070
110.8128	54.1127
110.9652	54.4817
111.1176	55.2033
111.2700	54.6420
111.4224	53.3331
111.5748	51.1415
111.7272	51.1167
111.8796	50.6857
112.0320	50.4012
112.1844	52.9653
112.3368	54.1200
112.4892	56.7930
112.6416	55.8929
112.7940	56.6951
112.9464	55.8709
113.0988	55.4268
113.2512	56.0128
113.4036	57.3068
113.5560	56.0156
113.7084	54.9286
113.8608	58.5659
114.0132	62.9669
114.1656	61.5631
114.3180	58.9588
114.4704	55.5889
114.6228	56.8965
114.7752	53.3838
114.9276	52.9021
115.0800	52.1805
115.2324	54.9185
115.3848	58.5815
115.5372	58.6666
115.6896	57.6831
115.8420	55.5770
115.9944	55.9524
116.1468	56.0247
116.2992	57.3114
116.4516	58.8635
116.6040	59.1082
116.7564	59.0120
116.9088	56.9150
117.0612	61.0643
117.2136	62.3079
117.3660	61.8720
117.5184	59.5583
117.6708	57.1578
117.8232	56.4857
117.9756	55.6829
118.1280	55.0834
118.2804	61.0311
118.4328	60.5778
118.5852	61.9129
118.7376	59.3553
118.8900	59.4468
119.0424	60.2435
119.1948	58.4853
119.3472	59.2518
119.4996	59.1675
119.6520	61.6657
119.8044	64.0796
119.9568	64.4599
120.1092	63.2108
120.2616	59.9343
120.4140	59.2689
120.5664	58.7524
120.7188	56.8239
120.8712	54.5193
121.0236	54.1359
121.1760	55.5150
121.3284	56.5955
121.4808	57.2024
121.6332	55.6841
121.7856	58.3727
121.9380	59.8186
122.0904	60.4743
122.2428	59.4450
122.3952	56.5961
122.5476	56.5736
122.7000	56.5900
122.8524	56.6670
123.0048	57.9423
123.1572	56.2604
123.3096	59.3605
123.4620	59.8659
123.6144	60.5497
123.7668	59.4276
123.9192	59.3562
124.0716	59.6785
124.2240	59.8324
124.3764	59.7454
124.5288	62.1703
124.6812	62.5350
124.8336	62.1687
124.9860	58.4096
125.1384	57.5980
125.2908	56.5806
125.4432	58.8653
125.5956	56.5980
125.7480	57.3416
125.9004	58.0696
126.0528	62.1565
126.2052	62.4113
126.3576	61.3125
126.5100	58.7640
126.6624	59.8818
126.8148	58.6959
126.9672	59.8608
127.1196	61.0466
127.2720	63.6107
127.4244	63.6217
127.5768	61.4239
127.7292	58.0742
127.8816	55.5101
128.0340	56.9753
128.1864	58.3635
128.3388	60.0109
128.4912	58.3016
128.6436	56.8749
128.7960	56.0461
128.9484	55.1933
129.1008	54.7690
129.2532	55.1224
129.4056	57.2469
129.5580	58.4423
129.7104	59.4670
129.8628	59.6346
130.0152	59.4221
130.1676	59.7124
130.3200	57.9331
130.4724	59.4762
130.6248	58.5275
130.7772	59.4826
130.9296	60.5906
131.0820	60.6675
131.2344	60.4752
131.3868	59.3516
131.5392	59.2005
131.6916	60.8580
131.8440	59.9020
131.9964	62.1703
132.1488	64.1757
132.3012	64.6189
132.4536	60.6108
132.6060	56.4075
132.7584	55.9912
132.9108	59.6541
133.0632	60.8446
133.2156	62.3479
133.3680	61.3406
133.5204	63.0778
133.6728	66.1867
133.8252	67.1024
133.9776	68.0117
134.1300	63.6559
134.2824	64.2969
134.4348	62.9279
134.5872	65.9803
134.7396	63.2240
134.8920	61.5802
135.0444	59.5000
135.1968	60.9697
135.3492	64.6079
135.5016	65.8900
135.6540	65.1528
135.8064	62.5069
135.9588	59.3888
136.1112	60.5022
136.2636	59.8748
136.4160	59.8796
136.5684	61.3441
136.7208	61.2602
136.8732	62.2836
137.0256	60.5327
137.1780	59.4216
137.3304	59.2184
137.4828	59.4738
137.6352	60.2131
137.7876	60.5578
137.9400	59.0706
138.0924	59.2851
138.2448	57.9701
138.3972	59.9451
138.5496	61.5549
138.7020	63.3865
138.8544	60.5565
