HOLE:	1244D
LEG:	204
TOP:	0.0184
BOTTOM:	364.1020
T2--> 	3.37	4.24	5.33	6.72	8.46	10.6	13.4	16.9	21.2	26.7	33.7	42.4	53.4	67.2	84.6	106	134	169	212	267	337	424	534	672	846	1060	1340	1690	2120	2670
DEPTH	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
3.0664	2.790	3.759	4.010	2.833	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.326	9.022	13.609	14.065	10.358	3.198	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.2188	2.235	3.177	3.694	3.272	1.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.999	10.117	12.766	12.221	8.496	2.167	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.3712	2.068	3.477	4.432	4.259	2.459	0.000	0.000	0.000	0.000	0.000	0.000	0.549	7.729	13.027	14.583	11.454	3.719	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.5236	2.705	4.514	5.578	5.063	2.402	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.276	16.385	18.159	12.939	0.505	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.6760	2.162	3.809	5.019	5.150	3.742	0.784	0.000	0.000	0.000	0.000	0.000	3.796	10.730	15.531	15.996	10.750	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.8284	0.879	2.936	4.723	5.482	4.651	2.179	0.000	0.000	0.000	0.000	0.000	6.372	12.548	15.985	14.432	6.540	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.9808	1.268	2.620	3.799	4.382	4.084	2.914	1.270	0.000	0.000	0.926	3.900	7.765	11.262	12.976	11.723	6.876	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.1332	1.318	2.653	3.881	4.572	4.407	3.358	1.789	0.410	0.054	1.293	4.094	7.711	10.901	12.327	10.956	6.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.2856	1.931	3.129	4.256	4.886	4.678	3.577	1.936	0.483	0.000	1.281	4.065	7.651	10.762	12.041	10.438	5.473	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.4380	2.890	3.767	4.474	4.693	4.196	3.004	1.478	0.273	0.123	1.482	4.241	7.658	10.564	11.727	10.187	5.496	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.5904	3.932	4.726	5.254	5.191	4.304	2.626	0.569	0.000	0.000	0.000	2.801	6.804	10.474	12.420	11.538	7.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.7428	4.887	5.706	6.106	5.761	4.456	2.270	0.000	0.000	0.000	0.000	1.118	5.597	9.954	12.608	12.205	7.968	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.8952	5.541	6.528	7.029	6.662	5.165	2.593	0.000	0.000	0.000	0.000	0.000	4.388	9.335	12.606	12.618	8.410	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.0476	5.331	6.476	7.095	6.801	5.365	2.880	0.000	0.000	0.000	0.000	0.000	4.330	8.798	11.700	11.698	8.068	0.811	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.2000	5.348	6.554	7.201	6.913	5.484	3.020	0.025	0.000	0.000	0.000	0.000	3.383	7.689	10.701	11.173	8.426	2.457	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.3524	4.906	6.006	6.635	6.517	5.511	3.703	1.465	0.000	0.000	0.000	0.520	3.556	6.818	9.218	9.816	8.078	3.964	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.5048	4.707	5.829	6.533	6.520	5.613	3.866	1.633	0.000	0.000	0.000	0.370	3.338	6.560	8.954	9.592	7.959	4.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.6572	4.875	6.003	6.637	6.439	5.226	3.101	0.507	0.000	0.000	0.000	0.000	3.057	6.702	9.367	10.063	8.253	3.930	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
