HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	351.7572
DEPTH_LSF	RHOB	DRHO	DRRT	PEF
m	g/cm3	g/cm3	g/cm3	barns/e-
18.7632	1.4496	0.0483	0.4152	2.7300
18.9156	1.4541	0.0494	0.4072	2.5894
19.0680	1.4460	0.0509	0.4042	2.6315
19.2204	1.4358	0.0488	0.4107	2.6361
19.3728	1.4195	0.0418	0.3845	2.7034
19.5252	1.4425	0.0468	0.3776	2.7552
19.6776	1.4602	0.0499	0.3788	2.7814
19.8300	1.4835	0.0581	0.4176	2.9721
19.9824	1.4925	0.0568	0.4076	2.9834
20.1348	1.4949	0.0577	0.3982	3.0780
20.2872	1.4812	0.0457	0.3728	2.9097
20.4396	1.4607	0.0398	0.3700	2.8210
20.5920	1.4208	0.0335	0.3184	2.7467
20.7444	1.3873	0.0443	0.2036	2.6689
20.8968	1.3717	0.0510	0.1340	2.6095
21.0492	1.4000	0.0537	0.1841	2.5378
21.2016	1.4204	0.0402	0.3104	2.5022
21.3540	1.4334	0.0425	0.3695	2.4634
21.5064	1.4222	0.0440	0.3392	2.5444
21.6588	1.4284	0.0612	0.2610	2.5987
21.8112	1.4327	0.0687	0.1921	2.4942
21.9636	1.4531	0.0849	0.1829	2.5367
22.1160	1.4518	0.0669	0.2349	2.5321
22.2684	1.4172	0.0391	0.2883	2.4851
22.4208	1.4378	0.0580	0.2848	2.5365
22.5732	1.4533	0.0669	0.2257	2.6103
22.7256	1.4680	0.0742	0.1929	2.7052
22.8780	1.4866	0.0768	0.2223	2.7319
23.0304	1.5081	0.0807	0.2480	2.8102
23.1828	1.5233	0.0881	0.2625	3.0424
23.3352	1.5316	0.0974	0.2477	3.0986
23.4876	1.5121	0.0882	0.2393	2.9549
23.6400	1.4939	0.0787	0.2548	2.5776
23.7924	1.5023	0.0796	0.2647	2.5021
23.9448	1.5072	0.0850	0.2807	2.5023
24.0972	1.5197	0.0891	0.2398	2.5886
24.2496	1.5285	0.0905	0.2223	2.7072
24.4020	1.5409	0.0881	0.1610	2.9389
24.5544	1.5656	0.0961	0.0759	3.2196
24.7068	1.5692	0.0905	0.0902	3.1082
24.8592	1.5858	0.0907	0.1765	2.8806
25.0116	1.5870	0.0826	0.1686	2.6724
25.1640	1.5946	0.0781	0.1009	2.7283
25.3164	1.5880	0.0637	0.1387	2.9513
25.4688	1.5998	0.0644	0.2186	2.9790
25.6212	1.5962	0.0665	0.2533	2.9698
25.7736	1.5799	0.0551	0.2709	2.8161
25.9260	1.5717	0.0594	0.3264	2.7615
26.0784	1.5495	0.0497	0.4084	2.8073
26.2308	1.5402	0.0580	0.4386	2.9094
26.3832	1.5084	0.0485	0.4305	2.8508
26.5356	1.4981	0.0520	0.4162	2.9053
26.6880	1.5199	0.0641	0.3806	2.8838
26.8404	1.5466	0.0706	0.3124	2.8504
26.9928	1.5911	0.0848	0.1871	2.8871
27.1452	1.6041	0.0829	0.1630	2.8878
27.2976	1.6069	0.0949	0.2076	2.8867
27.4500	1.5917	0.0940	0.3159	2.8875
27.6024	1.5916	0.0942	0.3627	2.8565
27.7548	1.6083	0.0924	0.3940	2.9830
27.9072	1.6246	0.0992	0.3881	3.0344
28.0596	1.6305	0.0949	0.3753	3.0415
28.2120	1.6356	0.0876	0.3919	2.9293
28.3644	1.6503	0.0900	0.4046	2.9203
28.5168	1.6438	0.0883	0.3673	2.9404
28.6692	1.6368	0.0932	0.3412	2.9320
28.8216	1.6067	0.0957	0.3036	2.8317
28.9740	1.5917	0.1044	0.2719	2.8359
29.1264	1.5548	0.1013	0.2584	2.9572
29.2788	1.5280	0.0885	0.3114	2.9544
29.4312	1.5085	0.0698	0.3946	2.9077
29.5836	1.5205	0.0666	0.4010	2.6247
29.7360	1.5348	0.0712	0.3947	2.6654
29.8884	1.5517	0.0751	0.3899	2.5960
30.0408	1.5536	0.0724	0.4027	2.6462
30.1932	1.5551	0.0744	0.3942	2.5016
30.3456	1.5409	0.0759	0.3847	2.5687
30.4980	1.5291	0.0802	0.3580	2.6828
30.6504	1.5169	0.0770	0.2853	2.7675
30.8028	1.5076	0.0908	0.2245	2.7620
30.9552	1.4933	0.0939	0.1667	2.6112
31.1076	1.4878	0.0952	0.1674	2.5926
31.2600	1.5005	0.1002	0.1688	2.6304
31.4124	1.5131	0.0954	0.2032	2.7261
31.5648	1.5296	0.0879	0.2594	2.8096
31.7172	1.5481	0.0771	0.3197	2.7594
31.8696	1.5788	0.0773	0.3119	2.7621
32.0220	1.6023	0.0809	0.2686	2.7523
32.1744	1.6153	0.0912	0.2730	2.9101
32.3268	1.6119	0.0959	0.2575	2.9198
32.4792	1.6010	0.0934	0.2268	2.7773
32.6316	1.5874	0.0803	0.2439	2.6197
32.7840	1.5839	0.0799	0.2523	2.6142
32.9364	1.5871	0.0855	0.2897	2.7158
33.0888	1.5831	0.0854	0.2969	2.8669
33.2412	1.5738	0.0792	0.2919	2.7920
33.3936	1.5498	0.0786	0.2647	2.7439
33.5460	1.5351	0.0784	0.2648	2.5977
33.6984	1.5265	0.0782	0.2914	2.6007
33.8508	1.5392	0.0766	0.3285	2.6988
34.0032	1.5434	0.0775	0.3336	2.7915
34.1556	1.5528	0.0881	0.3121	2.5489
34.3080	1.5555	0.0968	0.2783	2.5135
34.4604	1.5461	0.0952	0.2749	2.4727
34.6128	1.5248	0.0868	0.2751	2.4151
34.7652	1.5047	0.0786	0.2505	2.4090
