HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	380.1036
DEPTH_LSF	BDAV	BMAV	BSAV	RING	RBIT
m	ohmm	ohmm	ohmm	ohmm	ohmm		
3.1574	0.5873	0.4650	0.3637	0.5440	0.6077
3.1879	0.5514	0.4871	0.3673	0.5608	0.6301
3.2184	0.5377	0.5248	0.3556	0.5513	0.6211
3.2489	0.5317	0.5029	0.3949	0.5501	0.6206
3.2794	0.5236	0.4583	0.3712	0.5609	0.6276
3.3098	0.5422	0.4613	0.4622	0.5662	0.6311
3.3403	0.5645	0.4370	0.4374	0.5547	0.6390
3.3708	0.5879	0.4903	0.4536	0.5764	0.6387
3.4013	0.6094	0.4807	0.4894	0.5585	0.6364
3.4318	0.6013	0.5809	0.4165	0.5656	0.6404
3.4622	0.5566	0.5815	0.3992	0.5729	0.6454
3.4927	0.5654	0.5724	0.4379	0.5729	0.6429
3.5232	0.5433	0.6174	0.4874	0.5667	0.6380
3.5537	0.6050	0.5406	0.4880	0.5756	0.6522
3.5842	0.5751	0.4926	0.4488	0.5743	0.6367
3.6146	0.6889	0.5377	0.4041	0.5735	0.6486
3.6451	0.6702	0.5736	0.4403	0.5829	0.6539
3.6756	0.6583	0.6151	0.5139	0.5859	0.6435
3.7061	0.6769	0.6066	0.4026	0.6147	0.6558
3.7366	0.6390	0.5020	0.4014	0.6080	0.6400
3.7670	0.5870	0.5208	0.4060	0.6141	0.6541
3.7975	0.6091	0.6393	0.4444	0.6375	0.6603
3.8280	0.6201	0.5350	0.5017	0.6201	0.6487
3.8585	0.6946	0.5095	0.4736	0.6059	0.6912
3.8890	0.7118	0.5035	0.4158	0.6422	0.6570
3.9194	0.5978	0.5409	0.4025	0.6379	0.6687
3.9499	0.6059	0.6179	0.4166	0.6308	0.6744
3.9804	0.6831	0.5946	0.4592	0.6293	0.6629
4.0109	0.6189	0.5465	0.5763	0.6334	0.6793
4.0414	0.5960	0.5097	0.5324	0.6521	0.6699
4.0718	0.5823	0.5175	0.4578	0.6297	0.6640
4.1023	0.6128	0.5997	0.4090	0.6315	0.6752
4.1328	0.6800	0.6640	0.3990	0.6379	0.6886
4.1633	0.6941	0.6522	0.4446	0.6299	0.6721
4.1938	0.6629	0.5804	0.4348	0.6432	0.6820
4.2242	0.6097	0.5143	0.4643	0.6619	0.6871
4.2547	0.6204	0.4953	0.4810	0.6422	0.6832
4.2852	0.7085	0.5488	0.4101	0.6335	0.6787
4.3157	0.7203	0.5590	0.3832	0.6542	0.6966
4.3462	0.7224	0.5932	0.4281	0.6659	0.6720
4.3766	0.6644	0.6198	0.5147	0.6558	0.6802
4.4071	0.6203	0.5194	0.5139	0.6323	0.7045
4.4376	0.6256	0.4933	0.4787	0.6767	0.6895
4.4681	0.6456	0.5300	0.4516	0.6675	0.6987
4.4986	0.6399	0.6375	0.3936	0.6634	0.7009
4.5290	0.6767	0.6830	0.4435	0.6755	0.6901
4.5595	0.7114	0.6092	0.4935	0.6569	0.6874
4.5900	0.6596	0.5484	0.4858	0.6781	0.7196
4.6205	0.6358	0.5015	0.4188	0.6889	0.6940
4.6510	0.6465	0.5762	0.4044	0.6789	0.6910
4.6814	0.7388	0.6388	0.4616	0.6683	0.6938
