HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	351.7572
DEPTH_LSF	DCAL
m	in
47.8716	0.5160
48.0240	0.4519
48.1764	0.5226
48.3288	0.4186
48.4812	0.3795
48.6336	0.3421
48.7860	0.3510
48.9384	0.3054
49.0908	0.3599
49.2432	0.4300
49.3956	0.4973
49.5480	0.4847
49.7004	0.4821
49.8528	0.4363
50.0052	0.4941
50.1576	0.5812
50.3100	0.6965
50.4624	0.8419
50.6148	0.8674
50.7672	0.8053
50.9196	0.5554
51.0720	0.5042
51.2244	0.5900
51.3768	0.8044
51.5292	0.8136
51.6816	0.7244
51.8340	0.5507
51.9864	0.5580
52.1388	0.5985
52.2912	0.6427
52.4436	0.5362
52.5960	0.4342
52.7484	0.3461
52.9008	0.3732
53.0532	0.3836
53.2056	0.2408
53.3580	0.2002
53.5104	0.3510
53.6628	0.3756
53.8152	0.7241
53.9676	0.8648
54.1200	0.7869
54.2724	0.5471
54.4248	0.4107
54.5772	0.3703
54.7296	0.3691
54.8820	0.4581
55.0344	0.4111
55.1868	0.3828
55.3392	0.4008
55.4916	0.4269
55.6440	0.3884
55.7964	0.3044
55.9488	0.3531
56.1012	0.4106
56.2536	0.3984
56.4060	0.2237
56.5584	0.4114
56.7108	0.5994
56.8632	0.5447
57.0156	0.4520
57.1680	0.3478
57.3204	0.3458
57.4728	0.4903
57.6252	0.4246
57.7776	0.3769
57.9300	0.3069
58.0824	0.3246
58.2348	0.2416
58.3872	0.1163
58.5396	0.1153
58.6920	0.1675
58.8444	0.2910
58.9968	0.4705
59.1492	0.5129
59.3016	0.4741
59.4540	0.2832
59.6064	0.2623
59.7588	0.1145
59.9112	0.0864
60.0636	0.2732
60.2160	0.3165
60.3684	0.2923
60.5208	0.2481
60.6732	0.2986
60.8256	0.3169
60.9780	0.3014
61.1304	0.2768
61.2828	0.1940
61.4352	0.2199
61.5876	0.2596
61.7400	0.4119
61.8924	0.4381
62.0448	0.4817
62.1972	0.4243
62.3496	0.3086
62.5020	0.1910
62.6544	0.1950
62.8068	0.3117
62.9592	0.4564
63.1116	0.4264
63.2640	0.3885
63.4164	0.2639
63.5688	0.2951
63.7212	0.4431
63.8736	0.6025
64.0260	0.5696
64.1784	0.4365
64.3308	0.4776
64.4832	0.4471
64.6356	0.3345
64.7880	0.2894
64.9404	0.3768
65.0928	0.5400
65.2452	0.4781
65.3976	0.3174
65.5500	0.2237
65.7024	0.1917
65.8548	0.1770
66.0072	0.2170
66.1596	0.2998
66.3120	0.3756
66.4644	0.3498
66.6168	0.2135
66.7692	0.2405
66.9216	0.3011
67.0740	0.3485
67.2264	0.2696
67.3788	0.1133
67.5312	0.1692
67.6836	0.3071
67.8360	0.3927
67.9884	0.3738
68.1408	0.3282
68.2932	0.3362
68.4456	0.3363
68.5980	0.2879
68.7504	0.2063
68.9028	0.2224
69.0552	0.2172
69.2076	0.2318
69.3600	0.2573
69.5124	0.2894
69.6648	0.2548
69.8172	0.1825
69.9696	0.1241
70.1220	0.0825
70.2744	0.1123
70.4268	0.2229
70.5792	0.2873
70.7316	0.2856
70.8840	0.2944
71.0364	0.2717
71.1888	0.2065
71.3412	0.1109
71.4936	0.1076
71.6460	0.0821
71.7984	0.1700
71.9508	0.2821
72.1032	0.3054
72.2556	0.3268
72.4080	0.2618
72.5604	0.2319
72.7128	0.2153
72.8652	0.1368
73.0176	0.0798
73.1700	0.0784
73.3224	0.2209
73.4748	0.3837
73.6272	0.4433
73.7796	0.3921
73.9320	0.2157
74.0844	0.1710
74.2368	0.1418
74.3892	0.2162
74.5416	0.2527
74.6940	0.2480
74.8464	0.2103
74.9988	0.1266
75.1512	0.1087
75.3036	0.1884
75.4560	0.2192
75.6084	0.1800
75.7608	0.0822
75.9132	0.0331
76.0656	0.1106
76.2180	0.2336
76.3704	0.3266
76.5228	0.3080
76.6752	0.2854
76.8276	0.2564
76.9800	0.3052
77.1324	0.2215
77.2848	0.2548
77.4372	0.2287
77.5896	0.2133
77.7420	0.1696
77.8944	0.2014
78.0468	0.1878
78.1992	0.1636
78.3516	0.0669
78.5040	0.1001
78.6564	0.1559
78.8088	0.1997
78.9612	0.2531
79.1136	0.1752
79.2660	0.1416
79.4184	0.1473
79.5708	0.1049
79.7232	0.2436
79.8756	0.3743
80.0280	0.4643
80.1804	0.2966
80.3328	0.2235
80.4852	0.1374
80.6376	0.2170
80.7900	0.2367
80.9424	0.2606
81.0948	0.3080
81.2472	0.3133
81.3996	0.3188
81.5520	0.3098
81.7044	0.3031
81.8568	0.3061
82.0092	0.2959
82.1616	0.2901
82.3140	0.2285
82.4664	0.1363
82.6188	0.1515
82.7712	0.1704
82.9236	0.2555
83.0760	0.2577
83.2284	0.2955
83.3808	0.2726
83.5332	0.2884
83.6856	0.3268
83.8380	0.2818
83.9904	0.2404
84.1428	0.1291
84.2952	0.1297
84.4476	0.2102
84.6000	0.2842
84.7524	0.3251
84.9048	0.2933
85.0572	0.3512
85.2096	0.3604
85.3620	0.2666
85.5144	0.1410
85.6668	0.2721
85.8192	0.2729
85.9716	0.3111
86.1240	0.3006
86.2764	0.2968
86.4288	0.2160
86.5812	0.1575
86.7336	0.1195
86.8860	0.1816
87.0384	0.2085
87.1908	0.2163
87.3432	0.2099
87.4956	0.1865
87.6480	0.1932
87.8004	0.1935
87.9528	0.1713
88.1052	0.1260
88.2576	0.1650
88.4100	0.2238
88.5624	0.1860
88.7148	0.1032
88.8672	0.0703
89.0196	0.1405
89.1720	0.2383
89.3244	0.2043
89.4768	0.1772
89.6292	0.1037
89.7816	0.1296
89.9340	0.1724
90.0864	0.1865
90.2388	0.2352
90.3912	0.2289
90.5436	0.1076
90.6960	0.0640
90.8484	0.0825
91.0008	0.0976
91.1532	0.1281
91.3056	0.0983
91.4580	0.0404
91.6104	0.1716
91.7628	0.1646
91.9152	0.1393
92.0676	0.0874
92.2200	0.0808
92.3724	0.0716
92.5248	0.1124
92.6772	0.1413
