HOLE:	1244D
LEG:	204
TOP:	0.0180
BOTTOM:	350.6904
DEPTH_LSF	TNPH
m	%
47.8716	65.5780
48.0240	62.2017
48.1764	63.9959
48.3288	61.3868
48.4812	57.2149
48.6336	54.1205
48.7860	55.9069
48.9384	59.2098
49.0908	65.1625
49.2432	67.9723
49.3956	70.4464
49.5480	62.8875
49.7004	59.9495
49.8528	60.4217
50.0052	59.1579
50.1576	61.6660
50.3100	61.5809
50.4624	71.3705
50.6148	74.6731
50.7672	75.3122
50.9196	74.0594
51.0720	68.5831
51.2244	67.8860
51.3768	62.5560
51.5292	65.4386
51.6816	64.5736
51.8340	64.3865
51.9864	63.6949
52.1388	61.2824
52.2912	63.4025
52.4436	62.9019
52.5960	62.7580
52.7484	61.8041
52.9008	60.6050
53.0532	64.6040
53.2056	66.8278
53.3580	61.7620
53.5104	59.8058
53.6628	57.4183
53.8152	60.9822
53.9676	59.5493
54.1200	59.6186
54.2724	61.2714
54.4248	65.1947
54.5772	64.6605
54.7296	62.3413
54.8820	61.2829
55.0344	59.8061
55.1868	62.3015
55.3392	65.9951
55.4916	70.1605
55.6440	65.2677
55.7964	59.9479
55.9488	61.3151
56.1012	60.8225
56.2536	62.6881
56.4060	59.0869
56.5584	62.5454
56.7108	60.7775
56.8632	62.2794
57.0156	62.0755
57.1680	63.7174
57.3204	65.1777
57.4728	61.5778
57.6252	62.2453
57.7776	62.0417
57.9300	64.2520
58.0824	59.4913
58.2348	55.6545
58.3872	55.8747
58.5396	60.7859
58.6920	68.0557
58.8444	71.8447
58.9968	73.0261
59.1492	72.4973
59.3016	66.5829
59.4540	65.2042
59.6064	61.9259
59.7588	62.0229
59.9112	60.7467
60.0636	60.8080
60.2160	61.3811
60.3684	65.6207
60.5208	69.1092
60.6732	71.8569
60.8256	63.6228
60.9780	66.1204
61.1304	66.9001
61.2828	66.9147
61.4352	60.9856
61.5876	59.5701
61.7400	63.8640
61.8924	63.6066
62.0448	61.1500
62.1972	59.9462
62.3496	62.8266
62.5020	64.8425
62.6544	64.6221
62.8068	64.8286
62.9592	65.2506
63.1116	65.0869
63.2640	62.7425
63.4164	61.6609
63.5688	61.4187
63.7212	64.8119
63.8736	66.7129
64.0260	65.4946
64.1784	63.5944
64.3308	64.2149
64.4832	63.3642
64.6356	61.2636
64.7880	53.1169
64.9404	53.5830
65.0928	56.7365
65.2452	62.1344
65.3976	59.9161
65.5500	56.6395
65.7024	61.5812
65.8548	65.9218
66.0072	72.9866
66.1596	68.7501
66.3120	64.5472
66.4644	60.5278
66.6168	60.5961
66.7692	59.8283
66.9216	61.0666
67.0740	60.9091
67.2264	64.3721
67.3788	67.1207
67.5312	63.5534
67.6836	63.9593
67.8360	63.7950
67.9884	70.7612
68.1408	70.6735
68.2932	65.1909
68.4456	66.2735
68.5980	65.8685
68.7504	68.1176
68.9028	67.8264
69.0552	72.3733
69.2076	71.6363
69.3600	67.6838
69.5124	59.0507
69.6648	54.6687
69.8172	53.2555
69.9696	54.9616
70.1220	58.9457
70.2744	61.8779
70.4268	65.0152
70.5792	67.9838
70.7316	63.9895
70.8840	62.4344
71.0364	59.7003
71.1888	65.6723
71.3412	63.7704
71.4936	64.1361
71.6460	60.2123
71.7984	63.2230
71.9508	60.6979
72.1032	60.4727
72.2556	59.6922
72.4080	62.8266
72.5604	64.2016
72.7128	62.7834
72.8652	62.2273
73.0176	61.8858
73.1700	63.8097
73.3224	61.2108
73.4748	59.1948
73.6272	57.8221
73.7796	60.8161
73.9320	59.3102
74.0844	56.6283
74.2368	57.4786
74.3892	57.6642
74.5416	61.2297
74.6940	58.5755
74.8464	62.0832
74.9988	59.5384
75.1512	58.8963
75.3036	57.8157
75.4560	61.2021
75.6084	61.3135
75.7608	58.0313
75.9132	54.0064
76.0656	58.7840
76.2180	62.5980
76.3704	66.6033
76.5228	64.6175
76.6752	63.0320
76.8276	66.8445
76.9800	62.4180
77.1324	64.1212
77.2848	60.8562
77.4372	59.6287
77.5896	59.8820
77.7420	59.5828
77.8944	63.1802
78.0468	61.7580
78.1992	63.0182
78.3516	61.0581
78.5040	63.2473
78.6564	63.5704
78.8088	66.3378
78.9612	64.8048
79.1136	63.7598
79.2660	62.9216
79.4184	62.0596
79.5708	66.9172
79.7232	62.6328
79.8756	61.6426
80.0280	61.8317
80.1804	67.7836
