HOLE:	1230A
LEG:	201
TOP:	81.0763
BOTTOM:	279.9583
DEPTH_WMSF	IDPH	IMPH	SFLU
m	ohmm	ohmm	ohmm
104.6983	0.9835	0.9997	0.8737
104.8507	0.9818	0.9930	0.8674
105.0031	0.9806	0.9912	0.8545
105.1555	0.9797	0.9889	0.8419
105.3079	0.9771	0.9826	0.8490
105.4603	0.9762	0.9727	0.8431
105.6127	0.9796	0.9629	0.8643
105.7651	0.9789	0.9570	0.8593
105.9175	0.9754	0.9553	0.8587
106.0699	0.9780	0.9550	0.8578
106.2223	0.9764	0.9535	0.8504
106.3747	0.9774	0.9507	0.8481
106.5271	0.9814	0.9486	0.8611
106.6795	0.9766	0.9485	0.8594
106.8319	0.9762	0.9500	0.8462
106.9843	0.9754	0.9503	0.8569
107.1367	0.9746	0.9476	0.8488
107.2891	0.9730	0.9435	0.8532
107.4415	0.9679	0.9413	0.8577
107.5939	0.9555	0.9420	0.8509
107.7463	0.9433	0.9441	0.8527
107.8987	0.9363	0.9447	0.8543
108.0511	0.9334	0.9405	0.8346
108.2035	0.9303	0.9312	0.8389
108.3559	0.9267	0.9203	0.8140
108.5083	0.9237	0.9113	0.7891
108.6607	0.9156	0.9070	0.8012
108.8131	0.9101	0.9086	0.8167
108.9655	0.9098	0.9145	0.8206
109.1179	0.9101	0.9211	0.8193
109.2703	0.9117	0.9263	0.8147
109.4227	0.9167	0.9300	0.8157
109.5751	0.9298	0.9348	0.8073
109.7275	0.9325	0.9437	0.8226
109.8799	0.9375	0.9578	0.8251
110.0323	0.9424	0.9733	0.8240
110.1847	0.9435	0.9844	0.8151
110.3371	0.9439	0.9870	0.8691
110.4895	0.9434	0.9813	0.8813
110.6419	0.9423	0.9706	0.8717
110.7943	0.9373	0.9584	0.8331
110.9467	0.9326	0.9481	0.8203
111.0991	0.9317	0.9419	0.8220
111.2515	0.9290	0.9410	0.8215
111.4039	0.9242	0.9445	0.8203
111.5563	0.9249	0.9505	0.8221
111.7087	0.9263	0.9572	0.8282
111.8611	0.9351	0.9634	0.8513
112.0135	0.9408	0.9684	0.8525
112.1659	0.9455	0.9721	0.8561
112.3183	0.9564	0.9743	0.8504
112.4707	0.9623	0.9754	0.8501
112.6231	0.9653	0.9772	0.8631
112.7755	0.9678	0.9814	0.8886
112.9279	0.9703	0.9878	0.8824
113.0803	0.9723	0.9947	0.8928
113.2327	0.9736	0.9997	0.9028
113.3851	0.9748	1.0014	0.8937
113.5375	0.9763	1.0007	0.8901
113.6899	0.9799	0.9996	0.8861
113.8423	0.9810	0.9998	0.8817
113.9947	0.9819	1.0014	0.8849
114.1471	0.9835	1.0030	0.8967
114.2995	0.9850	1.0031	0.9011
114.4519	0.9896	1.0014	0.9083
114.6043	0.9992	0.9998	0.8936
114.7567	1.0019	1.0013	0.9086
114.9091	1.0049	1.0080	0.8856
115.0615	1.0060	1.0184	0.9003
115.2139	1.0120	1.0282	0.9242
115.3663	1.0170	1.0334	0.9288
115.5187	1.0206	1.0333	0.9159
115.6711	1.0253	1.0316	0.9164
115.8235	1.0296	1.0338	0.9162
115.9759	1.0406	1.0435	0.9664
116.1283	1.0461	1.0594	0.9783
116.2807	1.0481	1.0762	0.9583
116.4331	1.0492	1.0875	0.9525
116.5855	1.0545	1.0900	0.9670
116.7379	1.0597	1.0849	0.9754
116.8903	1.0592	1.0764	0.9578
117.0427	1.0583	1.0676	0.9717
117.1951	1.0538	1.0600	0.9757
117.3475	1.0441	1.0545	0.9755
117.4999	1.0407	1.0509	0.9497
117.6523	1.0295	1.0480	0.9116
117.8047	1.0231	1.0443	0.9104
117.9571	1.0221	1.0389	0.9087
118.1095	1.0225	1.0329	0.9209
118.2619	1.0221	1.0296	0.9241
118.4143	1.0224	1.0322	0.9231
118.5667	1.0260	1.0404	0.9367
118.7191	1.0256	1.0506	0.9864
118.8715	1.0265	1.0585	0.9481
119.0239	1.0303	1.0608	0.9334
119.1763	1.0340	1.0584	0.9315
119.3287	1.0452	1.0559	0.9300
119.4811	1.0490	1.0572	0.9148
119.6335	1.0482	1.0624	0.9999
119.7859	1.0447	1.0682	1.0370
119.9383	1.0391	1.0701	1.0412
120.0907	1.0367	1.0651	1.0535
120.2431	1.0354	1.0545	0.9875
120.3955	1.0261	1.0435	0.8449
120.5479	1.0190	1.0360	0.8637
120.7003	1.0070	1.0318	0.9266
120.8527	0.9929	1.0284	0.9659
121.0051	0.9907	1.0234	0.9605
121.1575	0.9907	1.0161	0.9400
121.3099	0.9961	1.0092	0.7597
121.4623	0.9998	1.0064	0.7144
121.6147	1.0003	1.0089	0.8098
121.7671	1.0007	1.0152	0.9492
121.9195	1.0048	1.0219	0.9662
122.0719	1.0081	1.0265	0.9469
122.2243	1.0136	1.0282	0.9392
122.3767	1.0158	1.0278	0.9467
122.5291	1.0153	1.0266	0.9427
122.6815	1.0159	1.0247	0.9402
122.8339	1.0155	1.0214	0.9272
122.9863	1.0106	1.0163	0.9141
123.1387	1.0097	1.0119	0.8866
123.2911	1.0177	1.0130	0.8842
123.4435	1.0297	1.0231	0.8951
123.5959	1.0339	1.0412	0.8973
123.7483	1.0395	1.0652	0.9072
123.9007	1.0719	1.0935	0.9312
124.0531	1.0837	1.1227	0.9170
124.2055	1.0858	1.1445	0.9844
124.3579	1.0868	1.1486	1.1330
124.5103	1.0862	1.1310	1.1310
124.6627	1.0815	1.0994	1.1218
124.8151	1.0550	1.0664	0.9408
124.9675	1.0372	1.0393	0.9250
125.1199	1.0304	1.0181	0.9247
125.2723	1.0246	1.0019	0.8994
125.4247	1.0220	0.9928	0.8929
125.5771	1.0136	0.9934	0.8904
125.7295	1.0208	1.0031	0.9817
125.8819	1.0220	1.0179	1.0108
126.0343	1.0247	1.0319	1.0222
126.1867	1.0305	1.0399	1.0291
126.3391	1.0385	1.0397	1.0301
126.4915	1.0455	1.0347	1.0146
126.6439	1.0523	1.0299	0.9922
126.7963	1.0706	1.0289	0.9770
126.9487	1.1215	1.0375	0.9572
127.1011	1.1510	1.0650	1.0076
127.2535	1.1774	1.1179	1.0973
127.4059	1.2148	1.1937	1.1015
127.5583	1.2297	1.2803	1.1014
127.7107	1.2759	1.3559	1.0069
127.8631	1.3139	1.3959	1.1993
128.0155	1.2992	1.3910	1.3321
128.1679	1.2904	1.3514	1.3538
128.3203	1.2787	1.2957	1.4316
128.4727	1.2656	1.2438	1.4322
128.6251	1.2480	1.2059	1.1998
128.7775	1.1573	1.1754	1.0489
128.9299	1.1040	1.1408	1.1029
129.0823	1.0968	1.1010	1.1293
129.2347	1.0901	1.0646	1.1278
129.3871	1.0855	1.0415	1.0776
129.5395	1.0843	1.0373	1.0624
129.6919	1.1014	1.0524	0.9597
129.8443	1.1228	1.0825	0.9775
129.9967	1.1301	1.1202	0.9817
130.1491	1.1363	1.1551	0.9927
130.3015	1.1604	1.1765	1.0005
130.4539	1.1772	1.1815	0.9979
130.6063	1.1736	1.1756	1.0009
130.7587	1.1631	1.1650	1.0173
130.9111	1.1388	1.1528	1.0016
131.0635	1.1235	1.1379	1.0237
131.2159	1.1067	1.1160	1.0441
131.3683	1.0904	1.0852	0.9508
131.5207	1.0786	1.0492	0.9431
131.6731	1.0679	1.0151	0.9158
131.8255	1.0401	0.9899	0.9168
131.9779	1.0255	0.9782	0.9194
132.1303	1.0190	0.9792	0.9163
132.2827	1.0090	0.9877	0.9048
132.4351	1.0132	0.9976	0.9004
132.5875	1.0200	1.0045	0.9105
132.7399	1.0226	1.0078	0.9460
132.8923	1.0233	1.0103	0.9475
133.0447	1.0173	1.0129	0.9455
133.1971	1.0196	1.0107	0.9447
133.3495	1.0333	1.0019	0.9876
133.5019	1.0620	0.9974	0.9251
133.6543	1.0791	1.0145	0.7950
133.8067	1.0769	1.0635	0.8629
133.9591	1.0728	1.1374	1.0398
134.1115	1.0670	1.2026	1.1209
134.2639	1.0680	1.2149	1.0845
134.4163	1.0828	1.1691	1.0451
134.5687	1.0906	1.1056	0.9541
134.7211	1.0920	1.0631	0.8754
134.8735	1.0936	1.0574	0.8736
135.0259	1.0719	1.0868	0.8691
135.1783	1.0635	1.1340	1.0961
135.3307	1.0648	1.1715	1.2503
135.4831	1.0645	1.1804	1.1478
135.6355	1.0630	1.1627	1.1300
135.7879	1.0662	1.1319	1.0747
135.9403	1.0592	1.1017	0.9360
136.0927	1.0507	1.0817	0.9337
136.2451	1.0496	1.0745	0.9309
136.3975	1.0469	1.0785	0.9083
136.5499	1.0465	1.0908	0.9037
136.7023	1.0494	1.1098	0.8873
136.8547	1.0542	1.1339	1.0285
137.0071	1.0804	1.1630	1.1967
137.1595	1.1082	1.1962	1.1727
137.3119	1.1206	1.2290	1.1850
137.4643	1.1529	1.2563	1.2006
137.6167	1.1629	1.2752	1.1787
137.7691	1.1621	1.2803	1.1561
137.9215	1.1554	1.2636	1.2324
138.0739	1.1475	1.2258	1.1952
138.2263	1.1295	1.1802	1.1324
138.3787	1.0948	1.1428	0.9480
138.5311	1.0891	1.1221	0.8901
138.6835	1.0846	1.1147	0.9471
138.8359	1.0971	1.1105	1.0213
138.9883	1.1199	1.1067	1.0067
139.1407	1.1240	1.1138	0.8791
139.2931	1.1374	1.1447	1.3259
139.4455	1.1606	1.2011	1.4482
139.5979	1.1659	1.2646	1.6208
139.7503	1.1716	1.2982	1.4824
139.9027	1.1724	1.2775	1.2559
140.0551	1.1689	1.2185	1.2393
140.2075	1.1631	1.1545	1.1137
140.3599	1.1128	1.1043	0.9375
140.5123	1.0689	1.0713	0.9432
