HOLE:	1230A
LEG:	201
TOP:	79.0956
BOTTOM:	261.9756
DEPTH_WMSF	DTCO	DT2	DTST	VCO	VS2	VST
m	us/ft	us/ft	us/ft	km/s	km/s	km/s
92.5068	180.9202	638.3774	462.7184	1.6847	0.4775	0.6587
92.6592	-999.2500	710.5260	418.9429	-999.2500	0.4290	0.7276
92.8116	-999.2500	710.5260	418.9429	-999.2500	0.4290	0.7276
92.9640	-999.2500	710.5260	382.5815	-999.2500	0.4290	0.7967
93.1164	-999.2500	710.5260	352.2544	-999.2500	0.4290	0.8653
93.2688	-999.2500	710.5260	336.7023	-999.2500	0.4290	0.9053
93.4212	-999.2500	710.5260	336.7023	-999.2500	0.4290	0.9053
93.5736	-999.2500	710.5260	336.7023	-999.2500	0.4290	0.9053
93.7260	-999.2500	710.5260	504.5206	-999.2500	0.4290	0.6041
93.8784	-999.2500	710.5260	552.6914	-999.2500	0.4290	0.5515
94.0308	-999.2500	710.5260	582.4596	-999.2500	0.4290	0.5233
94.1832	-999.2500	710.9029	582.4596	-999.2500	0.4288	0.5233
94.3356	-999.2500	710.9029	582.4596	-999.2500	0.4288	0.5233
94.4880	-999.2500	710.9029	582.4596	-999.2500	0.4288	0.5233
94.6404	-999.2500	710.9029	536.9612	-999.2500	0.4288	0.5676
94.7928	-999.2500	666.5237	491.4627	-999.2500	0.4573	0.6202
94.9452	182.0960	666.5237	400.4658	1.6739	0.4573	0.7611
95.0976	183.0461	666.5237	400.4658	1.6652	0.4573	0.7611
95.2500	183.9962	666.5237	376.5392	1.6566	0.4573	0.8095
95.4024	184.2440	666.5237	352.6127	1.6543	0.4573	0.8644
95.5548	184.4917	666.5237	354.9831	1.6521	0.4573	0.8586
95.7072	184.7395	666.5237	352.9011	1.6499	0.4573	0.8637
95.8596	184.9872	666.5237	335.2188	1.6477	0.4573	0.9093
96.0120	185.2349	666.8772	350.0236	1.6455	0.4571	0.8708
96.1644	185.4827	666.8772	352.3708	1.6433	0.4571	0.8650
96.3168	185.7304	666.8772	347.9326	1.6411	0.4571	0.8760
96.4692	185.9781	666.8772	189.4522	1.6389	0.4571	1.6089
96.6216	186.2259	661.6536	189.4522	1.6367	0.4607	1.6089
96.7740	186.4736	661.6536	189.4522	1.6346	0.4607	1.6089
96.9264	186.7213	661.6536	230.9887	1.6324	0.4607	1.3196
97.0788	186.9691	661.3029	288.5004	1.6302	0.4609	1.0565
