HOLE:	1230A
LEG:	201
TOP:	0.1519
BOTTOM:	266.3947
DEPTH_WMSF	HSGR	HCGR	HFK	HTHO	HURA	HBHK
m	gAPI	gAPI	%	ppm	ppm	%	
13.2583	5.7024	3.2744	0.0742	0.6116	0.4268	-0.1371
13.4107	6.1226	3.6471	0.0722	0.7423	0.4534	-0.1371
13.5631	6.0948	3.0052	0.0513	0.6598	0.5472	-0.1371
13.7155	5.5016	2.4836	0.0368	0.5779	0.5511	-0.1371
13.8679	5.3999	2.4479	0.0266	0.6262	0.5494	-0.1371
14.0203	5.6616	2.3610	0.0263	0.6003	0.5979	-0.1371
14.1727	5.3389	2.6014	0.0383	0.6064	0.5006	-0.1371
14.3251	4.9422	2.2632	0.0316	0.5379	0.4824	-0.1371
14.4775	4.7509	2.2331	0.0257	0.5628	0.4579	-0.1371
14.6299	4.8480	1.9877	0.0198	0.5186	0.5154	-0.1371
14.7823	5.2929	2.3531	0.0419	0.5063	0.4721	-0.1371
14.9347	5.3609	2.5114	0.0446	0.5409	0.4417	-0.1371
15.0871	5.5046	3.4514	0.0490	0.8157	0.3342	-0.1371
15.2395	4.8769	2.9943	0.0468	0.6826	0.3064	-0.1371
15.3919	5.0941	3.0163	0.0456	0.6966	0.3407	-0.1371
15.5443	5.2977	2.3836	0.0349	0.5569	0.4710	-0.1371
15.6967	5.0404	2.6521	0.0462	0.5765	0.3768	-0.1371
15.8491	4.8644	2.5947	0.0513	0.5288	0.3875	-0.1371
16.0015	4.5751	2.8602	0.0719	0.4925	0.2981	-0.1371
16.1539	5.2002	3.7679	0.0775	0.7502	0.2587	-0.1371
16.3063	4.6953	3.8599	0.0840	0.7413	0.1719	-0.1371
16.4587	4.6470	3.7361	0.0680	0.7955	0.2013	-0.1371
16.6111	5.3000	4.7995	0.0931	0.9879	0.1400	-0.1371
16.7635	5.3796	3.8298	0.0946	0.6696	0.2669	-0.1371
16.9159	5.4627	4.1908	0.1052	0.7228	0.2136	-0.1371
17.0683	5.0612	4.4134	0.1072	0.7818	0.1233	-0.1371
