HOLE: 1230A								
LEG: 201								
LOGGING RUN: DIT/APS/HLDT/SGT/HNGS								
DATE: 3/16/2002		Sea Floor Depth: 5099 mbrf						
Depth	Temp	Pressure						
(mbsf)	(degC)	(bar)						
63.6500	4.65	522.55						
63.9300	4.60	521.59						
64.2800	4.56	521.52						
64.5600	4.49	520.48						
64.8400	4.48	519.17						
65.1900	4.45	522.34						
65.3400	4.44	524.07						
65.4700	4.42	523.86						
65.7500	4.41	523.79						
66.1000	4.40	524.07						
66.3700	4.42	524.21						
66.6500	4.42	524.28						
66.9300	4.47	523.93						
67.2800	4.51	518.83						
67.5600	4.55	517.45						
67.8500	4.61	516.97						
68.1200	4.65	519.79						
68.4800	4.67	523.66						
68.7600	4.66	524.41						
69.0400	4.70	520.14						
69.3100	4.71	520.41						
69.5900	4.73	524.48						
69.7700	4.75	524.55						
69.9500	4.77	524.55						
70.2200	4.81	524.48						
70.4800	4.84	510.34						
70.7500	4.83	515.45						
71.0900	4.87	524.55						
71.3700	4.87	524.55						
71.6400	4.88	524.83						
71.9100	4.88	519.93						
72.2500	4.91	512.14						
72.5200	4.88	525.17						
72.8000	4.90	524.97						
73.0800	4.91	524.69						
73.3500	4.90	524.90						
73.6900	4.87	515.31						
73.9700	4.86	515.10						
74.2500	4.85	525.31						
74.5900	4.83	525.03						
74.7400	4.78	525.10						
74.8700	4.77	520.90						
75.1400	4.71	514.14						
75.4800	4.67	521.86						
75.7500	4.65	525.45						
76.0200	4.63	525.17						
76.2900	4.63	525.10						
76.6300	4.60	516.07						
76.8900	4.58	516.76						
77.1600	4.57	525.45						
77.5000	4.54	525.10						
77.7700	4.52	525.45						
78.0300	4.50	517.31						
78.2900	4.53	513.93						
78.4500	4.54	525.03						
78.5800	4.56	525.66						
78.8200	4.57	525.31						
78.9800	4.57	525.52						
79.1000	4.56	515.79						
79.3200	4.60	520.48						
79.5400	4.61	525.86						
79.7200	4.63	525.59						
80.0100	4.65	525.72						
80.3200	4.67	520.34						
80.7000	4.70	516.07						
80.9000	4.74	524.34						
81.0400	4.75	526.00						
81.2000	4.81	525.79						
81.2500	4.80	525.86						
