HOLE:	1230A
LEG:	201
TOP:	87.0199
BOTTOM:	266.3947
DEPTH_WMSF	CALI
m	in
134.8735	13.2779
135.0259	13.3991
135.1783	13.6002
135.3307	13.6558
135.4831	13.6732
135.6355	13.8191
135.7879	13.9207
135.9403	13.9580
136.0927	13.9937
136.2451	14.0047
136.3975	14.0079
136.5499	14.0341
136.7023	14.0463
136.8547	14.0383
137.0071	14.0485
137.1595	13.9948
137.3119	13.9900
137.4643	14.0150
137.6167	13.9491
137.7691	13.9481
137.9215	13.9649
138.0739	14.0577
138.2263	14.1369
138.3787	14.0215
138.5311	13.3469
138.6835	12.9768
138.8359	12.9758
138.9883	12.9814
139.1407	13.0449
139.2931	13.0971
139.4455	13.0509
139.5979	12.9519
139.7503	12.5475
139.9027	12.4628
140.0551	12.4522
140.2075	12.4411
140.3599	12.4373
140.5123	12.5736
140.6647	12.6372
140.8171	12.5319
140.9695	12.6330
141.1219	12.6453
141.2743	12.6500
141.4267	12.7065
141.5791	12.7436
141.7315	12.8906
141.8839	12.9158
142.0363	12.9134
142.1887	12.9169
142.3411	12.9525
142.4935	12.9788
142.6459	13.1305
142.7983	13.2991
142.9507	13.3128
143.1031	13.4371
143.2555	13.7186
143.4079	13.9176
143.5603	13.9900
143.7127	14.0617
143.8651	14.1022
144.0175	14.1125
144.1699	14.0930
144.3223	14.1044
144.4747	14.1181
144.6271	14.0561
144.7795	13.9684
144.9319	13.9344
145.0843	13.9116
145.2367	13.8771
145.3891	13.8653
145.5415	13.8750
145.6939	13.9319
145.8463	13.9707
145.9987	13.9765
146.1511	13.8715
146.3035	13.7896
146.4559	13.7244
146.6083	13.7237
146.7607	13.7239
146.9131	13.7185
147.0655	13.7898
147.2179	13.8263
147.3703	13.7280
147.5227	13.7188
147.6751	13.7360
147.8275	13.7637
147.9799	13.7622
148.1323	13.7685
148.2847	13.9575
148.4371	14.4762
148.5895	14.7137
148.7419	13.8725
148.8943	13.4191
149.0467	13.3555
149.1991	13.6804
149.3515	13.7533
149.5039	13.7213
149.6563	13.7221
149.8087	13.7238
149.9611	13.7299
150.1135	13.7180
150.2659	13.7705
150.4183	13.9766
150.5707	14.0252
150.7231	14.1897
150.8755	14.2311
