HOLE:	1230A
LEG:	201
TOP:	80.1619
BOTTOM:	272.1859
DEPTH_WMSF	RHOB	DRHO	PEF
m	g/cm3	g/cm3	barns/e-
103.7839	1.4862	0.0204	2.4697
103.9363	1.4873	0.0263	2.4772
104.0887	1.4875	0.0258	2.5485
104.2411	1.4970	0.0253	2.5538
104.3935	1.4995	0.0199	2.5591
104.5459	1.4968	0.0168	2.5173
104.6983	1.4929	0.0152	2.5218
104.8507	1.4933	0.0146	2.5119
105.0031	1.5028	0.0205	2.5370
105.1555	1.5055	0.0207	2.5745
105.3079	1.5004	0.0159	2.6746
105.4603	1.4986	0.0118	2.7309
105.6127	1.4972	0.0128	2.7205
105.7651	1.5203	0.0351	2.6113
105.9175	1.5287	0.0485	2.5365
106.0699	1.5394	0.0634	2.5137
106.2223	1.5220	0.0533	2.5773
106.3747	1.5209	0.0468	2.5827
106.5271	1.5146	0.0348	2.5791
106.6795	1.5250	0.0327	2.5221
106.8319	1.5277	0.0323	2.6063
106.9843	1.5240	0.0228	2.5815
107.1367	1.5094	0.0110	2.5740
107.2891	1.5021	0.0095	2.5645
107.4415	1.5032	0.0157	2.6386
107.5939	1.5035	0.0228	2.6815
107.7463	1.4989	0.0228	2.6583
107.8987	1.4894	0.0255	2.5456
108.0511	1.4936	0.0398	2.4463
108.2035	1.5025	0.0621	2.3398
108.3559	1.5169	0.0779	2.3241
108.5083	1.5061	0.0637	2.3347
108.6607	1.4965	0.0482	2.3703
108.8131	1.4827	0.0333	2.3785
108.9655	1.4835	0.0382	2.3516
109.1179	1.4813	0.0404	2.3380
109.2703	1.4874	0.0486	2.3268
109.4227	1.4921	0.0534	2.3271
109.5751	1.5053	0.0535	2.3569
109.7275	1.5183	0.0504	2.4432
109.8799	1.5384	0.0455	2.5510
110.0323	1.5357	0.0315	2.5433
110.1847	1.5269	0.0220	2.4900
110.3371	1.5143	0.0168	2.4393
110.4895	1.5150	0.0226	2.4681
110.6419	1.5246	0.0356	2.4397
110.7943	1.5443	0.0568	2.4038
110.9467	1.5426	0.0584	2.3600
111.0991	1.5447	0.0594	2.3455
111.2515	1.5217	0.0379	2.3506
111.4039	1.5241	0.0379	2.3809
111.5563	1.5209	0.0321	2.5056
111.7087	1.5466	0.0417	2.6122
111.8611	1.5534	0.0268	2.6707
112.0135	1.5635	0.0166	2.6846
112.1659	1.5590	0.0033	2.7186
112.3183	1.5678	0.0132	2.7229
112.4707	1.5797	0.0255	2.7207
112.6231	1.5983	0.0431	2.7193
112.7755	1.5950	0.0351	2.7077
112.9279	1.5870	0.0249	2.6767
113.0803	1.5842	0.0212	2.6480
113.2327	1.5862	0.0262	2.6624
113.3851	1.5904	0.0304	2.6929
113.5375	1.5834	0.0239	2.7345
113.6899	1.5846	0.0191	2.7831
113.8423	1.5787	0.0113	2.8433
113.9947	1.5742	0.0063	2.8816
114.1471	1.5713	0.0099	2.8403
114.2995	1.5693	0.0204	2.7183
114.4519	1.5896	0.0487	2.6725
114.6043	1.5948	0.0534	2.6983
114.7567	1.5935	0.0357	2.7749
114.9091	1.5794	0.0105	2.8511
115.0615	1.5770	0.0017	2.8826
115.2139	1.5822	0.0018	2.9301
115.3663	1.5852	0.0043	2.8907
115.5187	1.6008	0.0176	2.8363
115.6711	1.5948	0.0191	2.8065
115.8235	1.6041	0.0275	2.8044
115.9759	1.6135	0.0356	2.8862
116.1283	1.6219	0.0391	2.9572
116.2807	1.6276	0.0374	3.0014
116.4331	1.6258	0.0315	2.9568
116.5855	1.6194	0.0268	2.9388
116.7379	1.6106	0.0244	2.8597
116.8903	1.6029	0.0229	2.8555
117.0427	1.6055	0.0315	2.7688
117.1951	1.5898	0.0234	2.8104
117.3475	1.5810	0.0209	2.7975
117.4999	1.5734	0.0120	2.8077
117.6523	1.5834	0.0182	2.7823
117.8047	1.5948	0.0211	2.8191
117.9571	1.6060	0.0234	2.8732
118.1095	1.6221	0.0312	2.9247
118.2619	1.6300	0.0360	2.9095
118.4143	1.6452	0.0550	2.8471
118.5667	1.6396	0.0512	2.8263
118.7191	1.6436	0.0567	2.8324
118.8715	1.6293	0.0443	2.8743
119.0239	1.6358	0.0530	2.9170
119.1763	1.6188	0.0364	2.8798
119.3287	1.6138	0.0311	2.8352
119.4811	1.5955	0.0154	2.7610
119.6335	1.5769	0.0144	2.7503
119.7859	1.5695	0.0175	2.7789
119.9383	1.5653	0.0219	2.7524
120.0907	1.5725	0.0271	2.7138
120.2431	1.5663	0.0201	2.6774
120.3955	1.5610	0.0111	2.6422
120.5479	1.5541	0.0063	2.6655
120.7003	1.5553	0.0083	2.6873
120.8527	1.5531	0.0114	2.7502
121.0051	1.5558	0.0054	2.9297
121.1575	1.5753	0.0045	3.1292
121.3099	1.5915	0.0026	3.1489
121.4623	1.6043	0.0044	3.0178
121.6147	1.5901	-0.0007	2.8369
121.7671	1.5956	0.0063	2.8133
121.9195	1.5970	0.0082	2.7896
122.0719	1.5997	0.0127	2.7874
122.2243	1.5760	0.0066	2.7642
