HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	64.0016
DEPTH_WMSF	DCAL
m	in
47.9996	0.3107
48.1520	0.2553
48.3044	0.2180
48.4568	0.1378
48.6092	0.1559
48.7616	0.1679
48.9140	0.2359
49.0664	0.2290
49.2188	0.1765
49.3712	0.1449
49.5236	0.0706
49.6760	0.1428
49.8284	0.3028
49.9808	0.4040
50.1332	0.1938
50.2856	0.1101
50.4380	0.4816
50.5904	0.6018
50.7428	0.5388
50.8952	0.3334
51.0476	0.2107
51.2000	0.2059
51.3524	0.2055
51.5048	0.2518
51.6572	0.3602
51.8096	0.4463
51.9620	0.5087
52.1144	0.3913
52.2668	0.3531
52.4192	0.3634
52.5716	0.3862
52.7240	0.2616
52.8764	0.1773
53.0288	0.2123
53.1812	0.2309
53.3336	0.1927
53.4860	0.2093
53.6384	0.2903
53.7908	0.3442
53.9432	0.3232
54.0956	0.1934
54.2480	0.1806
54.4004	0.1435
54.5528	0.2324
54.7052	0.2948
54.8576	0.3276
55.0100	0.2378
55.1624	0.1839
55.3148	0.1582
55.4672	0.1877
55.6196	0.1819
55.7720	0.2503
55.9244	0.2776
56.0768	0.1722
56.2292	0.0868
56.3816	0.2037
56.5340	0.2659
56.6864	0.2821
56.8388	0.1556
56.9912	0.1201
57.1436	0.1990
57.2960	0.2882
57.4484	0.2420
57.6008	0.1385
57.7532	0.1037
57.9056	0.1936
58.0580	0.2044
58.2104	0.2222
58.3628	0.2321
58.5152	0.1373
58.6676	0.1251
58.8200	0.1293
58.9724	0.1500
59.1248	0.2105
59.2772	0.2324
59.4296	0.1701
59.5820	0.1585
59.7344	0.1225
59.8868	0.2059
60.0392	0.3369
60.1916	0.4308
60.3440	0.3339
60.4964	0.1750
60.6488	0.1125
60.8012	0.1918
60.9536	0.3285
61.1060	0.4957
61.2584	0.3988
61.4108	0.3412
61.5632	0.2588
61.7156	0.2788
61.8680	0.3531
62.0204	0.3943
62.1728	0.4194
