HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	88.2332
DEPTH_LSF	GR
m	gAPI
47.9996	50.0012
48.1520	50.2283
48.3044	49.3648
48.4568	51.7511
48.6092	52.2425
48.7616	54.0583
48.9140	54.7168
49.0664	54.6418
49.2188	52.3975
49.3712	50.0577
49.5236	51.4821
49.6760	55.8360
49.8284	56.8533
49.9808	58.5846
50.1332	55.9845
50.2856	56.6093
50.4380	54.1640
50.5904	54.5883
50.7428	55.1426
50.8952	57.2337
51.0476	58.1063
51.2000	56.7563
51.3524	56.4746
51.5048	54.8516
51.6572	53.6847
51.8096	55.9667
51.9620	59.4423
52.1144	61.4012
52.2668	60.6787
52.4192	61.3882
52.5716	63.0733
52.7240	65.5584
52.8764	64.3963
53.0288	64.5301
53.1812	64.2454
53.3336	64.0593
53.4860	64.2787
53.6384	59.8747
53.7908	58.7093
53.9432	54.7991
54.0956	54.8443
54.2480	55.3359
54.4004	59.6545
54.5528	61.3636
54.7052	57.1523
54.8576	55.9130
55.0100	54.0340
55.1624	58.1754
55.3148	58.1556
55.4672	58.4091
55.6196	58.4660
55.7720	57.3504
55.9244	58.4556
56.0768	57.9732
56.2292	59.2438
56.3816	56.2193
56.5340	54.9145
56.6864	52.6906
56.8388	53.8013
56.9912	55.8270
57.1436	58.2543
57.2960	59.3921
57.4484	57.7106
57.6008	55.6636
57.7532	56.0014
57.9056	57.1762
58.0580	58.2224
58.2104	57.9122
58.3628	59.0814
58.5152	58.4562
58.6676	57.8937
58.8200	58.0123
58.9724	56.8859
59.1248	56.1421
59.2772	53.0198
59.4296	54.9226
59.5820	57.0384
59.7344	58.3648
59.8868	59.1613
60.0392	57.8100
60.1916	60.5320
60.3440	58.0454
60.4964	57.7923
60.6488	56.7586
60.8012	58.3815
60.9536	58.7087
61.1060	56.4219
61.2584	55.3350
61.4108	55.5230
61.5632	54.7788
61.7156	57.0924
61.8680	55.7594
62.0204	58.7211
62.1728	58.2562
62.3252	59.8870
62.4776	58.6991
62.6300	58.6165
62.7824	60.6280
62.9348	60.4332
63.0872	60.9515
63.2396	59.6478
63.3920	61.2278
63.5444	62.5050
63.6968	64.9657
63.8492	65.0602
64.0016	65.9198
64.1540	65.2423
64.3064	65.2523
64.4588	62.3539
64.6112	62.9605
64.7636	62.3291
64.9160	66.9441
65.0684	67.6503
65.2208	67.4426
