HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	63.0872
DEPTH_LSF	TNPH
m	%
47.9996	62.1038
48.1520	63.6904
48.3044	63.9989
48.4568	65.2915
48.6092	66.2847
48.7616	64.1276
48.9140	67.0799
49.0664	71.6422
49.2188	73.4481
49.3712	67.2344
49.5236	65.2948
49.6760	68.0545
49.8284	71.0095
49.9808	66.6309
50.1332	64.8799
50.2856	61.1228
50.4380	60.5834
50.5904	58.2082
50.7428	57.8558
50.8952	59.7638
51.0476	63.4817
51.2000	60.8449
51.3524	59.7173
51.5048	60.4425
51.6572	61.4140
51.8096	59.8182
51.9620	59.9837
52.1144	62.5650
52.2668	60.7882
52.4192	60.8562
52.5716	63.1063
52.7240	65.2999
52.8764	67.0252
53.0288	64.6442
53.1812	68.4716
53.3336	62.7102
53.4860	64.1780
53.6384	62.6938
53.7908	64.5939
53.9432	60.6073
54.0956	59.9022
54.2480	60.7821
54.4004	64.0985
54.5528	61.5913
54.7052	61.0178
54.8576	63.5614
55.0100	70.5513
55.1624	64.9596
55.3148	65.3463
55.4672	60.6741
55.6196	60.8769
55.7720	59.1249
55.9244	60.6196
56.0768	59.4532
56.2292	57.3921
56.3816	56.6938
56.5340	61.4504
56.6864	60.9092
56.8388	60.1758
56.9912	64.0080
57.1436	65.2658
57.2960	65.0814
57.4484	59.1996
57.6008	58.9571
57.7532	60.7837
57.9056	61.5780
58.0580	62.7154
58.2104	64.9144
58.3628	60.4889
58.5152	60.0311
58.6676	57.8652
58.8200	64.4024
58.9724	66.7804
59.1248	67.6558
59.2772	61.4341
59.4296	61.4420
59.5820	63.9978
59.7344	69.3558
59.8868	67.1967
60.0392	62.4876
60.1916	61.9914
60.3440	61.5240
60.4964	60.8445
60.6488	59.8361
60.8012	62.2224
60.9536	58.2227
61.1060	60.4569
61.2584	56.2702
61.4108	63.5848
61.5632	61.0038
61.7156	62.0270
61.8680	56.3049
62.0204	55.3615
62.1728	54.6374
62.3252	58.6556
62.4776	60.8838
62.6300	64.2343
62.7824	59.0689
62.9348	56.0075
63.0872	51.7278
