HOLE:	1249A
LEG:	204
TOP:	0.1460
BOTTOM:	91.4336
DEPTH_LSF	ROP5	GRTK	B3TM	B2TM	B1TM	RTIM	RBTM	DTAB	NTAB	RPM	ARPM
m	m/hr	s	s	s	s	s	s	s	s	rpm	rpm	
7.6136	16.8294	693.8906	818.6875	858.6250	888.5781	778.7500	274.5625	6854.0156	7028.7344	22.9038	50.7500
7.7660	16.5250	693.8906	823.6875	863.6250	903.5469	783.7500	279.5469	6839.0312	7013.7656	30.0000	47.8000
7.9184	16.2325	698.8750	823.6719	878.5781	903.5469	783.7344	279.5469	6824.0625	7008.7656	31.0000	49.5000
8.0708	15.9480	708.8750	838.6562	878.5938	903.5625	793.7344	289.5469	6809.0781	6998.7812	27.0000	46.6000
8.2232	15.8568	713.8594	843.6562	878.5938	903.5625	803.7188	294.5312	6789.1094	6983.7969	25.5942	51.0000
8.3756	15.2821	718.8594	843.6562	878.5938	908.5469	808.7031	309.5156	6774.1406	6968.8281	27.3590	49.8000
8.5280	15.1145	708.8594	828.6719	868.6094	883.5781	798.7188	299.5156	6764.1562	6963.8438	31.8942	52.6000
8.6804	14.7080	708.8594	818.6875	843.6562	863.6250	783.7500	294.5312	6754.1719	6948.8594	31.0000	49.8333
8.8328	14.9496	713.8438	813.6875	843.6406	873.5938	793.7188	309.5000	6739.2031	6933.8906	26.0000	50.0000
8.9852	15.3248	713.8594	808.7188	848.6406	878.5938	783.7500	309.5156	6739.2031	6928.8906	29.8153	49.3333
9.1376	15.2406	708.8750	803.7188	843.6562	868.6094	763.7812	299.5312	6729.2188	6918.9062	26.0000	51.4000
9.2900	14.9090	698.8750	803.7031	838.6562	863.6094	763.7656	299.5156	6729.2188	6908.9219	31.0000	51.8000
9.4424	15.3678	688.9062	798.7188	833.6719	858.6250	763.7812	294.5312	6724.2188	6903.9375	34.0000	48.8000
9.5948	15.3688	663.9375	783.7344	818.6875	858.6250	748.7969	284.5312	6714.2500	6893.9531	27.5641	50.8333
9.7472	15.3678	668.9219	778.7500	828.6719	858.6250	743.8125	289.5312	6699.2656	6873.9844	32.1054	51.0000
9.8996	15.4120	663.9375	783.7500	823.6719	838.6562	738.8125	284.5469	6694.2656	6864.0000	33.0000	49.0000
10.0520	15.4981	653.9531	778.7500	803.7031	823.6719	738.8125	279.5469	6674.2969	6849.0156	29.6901	51.8000
10.2044	15.6754	648.9688	763.7812	793.7344	813.7031	743.8125	284.5469	6664.3281	6839.0469	27.8754	48.5000
